symbol,date,high,open,volume,low,close
BTC-EUR,2021-02-24 00:00:00,40307.30859375,40181.33203125,3266600960,38838.05859375,39703.79296875
BTC-EUR,2021-02-24 01:00:00,41068.48828125,39731.66796875,4410597376,39731.66796875,41068.48828125
BTC-EUR,2021-02-24 02:00:00,41498.71875,41088.14453125,4733829120,41055.8671875,41431.828125
BTC-EUR,2021-02-24 03:00:00,41904.98828125,41402.1328125,1482670080,41312.8828125,41904.98828125
BTC-EUR,2021-02-24 04:00:00,42208.34765625,41915.15234375,1685716992,41556.67578125,41798.52734375
BTC-EUR,2021-02-24 05:00:00,41938.23828125,41805.05859375,956735488,41331.89453125,41507.7890625
BTC-EUR,2021-02-24 06:00:00,41688.83984375,41491.9453125,2863816704,40907.0859375,41220.1015625
BTC-EUR,2021-02-24 07:00:00,41374.6875,41240.59765625,1952055296,40806.0,41302.89453125
BTC-EUR,2021-02-24 08:00:00,41786.73828125,41300.9453125,1252827136,41112.10546875,41683.00390625
BTC-EUR,2021-02-24 09:00:00,42179.75,41661.79296875,1815969792,41502.63671875,41858.30078125
BTC-EUR,2021-02-24 10:00:00,41902.6640625,41858.45703125,583639040,41384.13671875,41384.13671875
BTC-EUR,2021-02-24 11:00:00,41750.02734375,41356.67578125,953114624,41298.5703125,41402.4609375
BTC-EUR,2021-02-24 12:00:00,42101.0546875,41422.86328125,1062731776,41422.86328125,41795.40234375
BTC-EUR,2021-02-24 13:00:00,41955.30859375,41796.24609375,1625743360,40639.41796875,40788.85546875
BTC-EUR,2021-02-24 14:00:00,40974.921875,40779.6171875,1310965760,40328.22265625,40552.8515625
BTC-EUR,2021-02-24 15:00:00,41064.02734375,40586.94140625,1299197952,40141.953125,41064.02734375
BTC-EUR,2021-02-24 16:00:00,41261.5078125,41066.80078125,706232320,40772.23828125,40772.23828125
BTC-EUR,2021-02-24 17:00:00,41092.46875,40772.26953125,640987136,40701.95703125,41052.484375
BTC-EUR,2021-02-24 17:53:06,41056.6484375,41056.6484375,0,41056.6484375,41056.6484375
